date,AFGHANISTAN_CENTRAL MEDITERRANEAN,AFGHANISTAN_EASTERN BORDERS,AFGHANISTAN_EASTERN MEDITERRANEAN (L),AFGHANISTAN_EASTERN MEDITERRANEAN (S),AFGHANISTAN_WESTERN BALKAN,ALBANIA_WESTERN BALKAN,ALGERIA_CENTRAL MEDITERRANEAN,ALGERIA_WESTERN BALKAN,ALGERIA_WESTERN MEDITERRANEAN (L),ALGERIA_WESTERN MEDITERRANEAN (S),BANGLADESH_CENTRAL MEDITERRANEAN,BANGLADESH_EASTERN MEDITERRANEAN (L),BANGLADESH_EASTERN MEDITERRANEAN (S),BANGLADESH_WESTERN BALKAN,BELARUS_EASTERN BORDERS,BENIN_CENTRAL MEDITERRANEAN,BURKINA FASO_CENTRAL MEDITERRANEAN,BURUNDI_WESTERN BALKAN,CAMEROON_CENTRAL MEDITERRANEAN,CAMEROON_EASTERN MEDITERRANEAN (L),CAMEROON_EASTERN MEDITERRANEAN (S),CAMEROON_WESTERN AFRICAN,CAMEROON_WESTERN BALKAN,CHAD_CENTRAL MEDITERRANEAN,CHINA_WESTERN BALKAN,COMOROS_CENTRAL MEDITERRANEAN,COMOROS_WESTERN AFRICAN,CONGO (BRAZZAVILLE)_CENTRAL MEDITERRANEAN,CONGO (BRAZZAVILLE)_EASTERN MEDITERRANEAN (L),CONGO (BRAZZAVILLE)_EASTERN MEDITERRANEAN (S),CONGO (BRAZZAVILLE)_WESTERN BALKAN,CONGO (KINSHASA)_CENTRAL MEDITERRANEAN,CONGO (KINSHASA)_EASTERN MEDITERRANEAN (L),CONGO (KINSHASA)_EASTERN MEDITERRANEAN (S),CONGO (KINSHASA)_WESTERN BALKAN,CUBA_WESTERN BALKAN,CÔTE D'IVOIRE_CENTRAL MEDITERRANEAN,CÔTE D'IVOIRE_WESTERN AFRICAN,EGYPT_CENTRAL MEDITERRANEAN,EGYPT_EASTERN MEDITERRANEAN (L),EGYPT_EASTERN MEDITERRANEAN (S),EGYPT_WESTERN BALKAN,ERITREA_CENTRAL MEDITERRANEAN,ERITREA_EASTERN BORDERS,ERITREA_EASTERN MEDITERRANEAN (S),ETHIOPIA_CENTRAL MEDITERRANEAN,ETHIOPIA_EASTERN BORDERS,ETHIOPIA_EASTERN MEDITERRANEAN (S),GAMBIA_CENTRAL MEDITERRANEAN,GAMBIA_EASTERN MEDITERRANEAN (S),GAMBIA_WESTERN AFRICAN,GEORGIA_EASTERN MEDITERRANEAN (L),GHANA_CENTRAL MEDITERRANEAN,GHANA_EASTERN MEDITERRANEAN (S),GUINEA-BISSAU_WESTERN AFRICAN,GUINEA_CENTRAL MEDITERRANEAN,GUINEA_EASTERN MEDITERRANEAN (S),GUINEA_WESTERN AFRICAN,GUINEA_WESTERN MEDITERRANEAN (L),GUINEA_WESTERN MEDITERRANEAN (S),INDIA_EASTERN MEDITERRANEAN (S),INDIA_WESTERN BALKAN,IRAN_CENTRAL MEDITERRANEAN,IRAN_EASTERN BORDERS,IRAN_EASTERN MEDITERRANEAN (L),IRAN_EASTERN MEDITERRANEAN (S),IRAN_WESTERN BALKAN,IRAQ_CENTRAL MEDITERRANEAN,IRAQ_EASTERN BORDERS,IRAQ_EASTERN MEDITERRANEAN (L),IRAQ_EASTERN MEDITERRANEAN (S),IRAQ_WESTERN BALKAN,KOSOVO*_WESTERN BALKAN,KUWAIT_EASTERN MEDITERRANEAN (S),LEBANON_CENTRAL MEDITERRANEAN,LIBERIA_CENTRAL MEDITERRANEAN,LIBERIA_EASTERN MEDITERRANEAN (S),LIBYA_CENTRAL MEDITERRANEAN,LIBYA_WESTERN BALKAN,MALI_CENTRAL MEDITERRANEAN,MALI_EASTERN MEDITERRANEAN (S),MALI_WESTERN AFRICAN,MALI_WESTERN MEDITERRANEAN (S),MAURITANIA_WESTERN AFRICAN,MONGOLIA_WESTERN BALKAN,MOROCCO_CENTRAL MEDITERRANEAN,MOROCCO_EASTERN MEDITERRANEAN (L),MOROCCO_WESTERN AFRICAN,MOROCCO_WESTERN BALKAN,MOROCCO_WESTERN MEDITERRANEAN (L),MOROCCO_WESTERN MEDITERRANEAN (S),NEPAL_WESTERN BALKAN,NIGERIA_CENTRAL MEDITERRANEAN,NIGERIA_EASTERN MEDITERRANEAN (L),NIGERIA_EASTERN MEDITERRANEAN (S),OTHER_CENTRAL MEDITERRANEAN,OTHER_EASTERN BORDERS,OTHER_EASTERN MEDITERRANEAN (L),OTHER_EASTERN MEDITERRANEAN (S),OTHER_WESTERN AFRICAN,OTHER_WESTERN BALKAN,OTHER_WESTERN MEDITERRANEAN (L),OTHER_WESTERN MEDITERRANEAN (S),PAKISTAN_CENTRAL MEDITERRANEAN,PAKISTAN_EASTERN MEDITERRANEAN (L),PAKISTAN_EASTERN MEDITERRANEAN (S),PAKISTAN_WESTERN AFRICAN,PAKISTAN_WESTERN BALKAN,PALESTINE^_CENTRAL MEDITERRANEAN,PALESTINE^_EASTERN MEDITERRANEAN (L),PALESTINE^_EASTERN MEDITERRANEAN (S),PALESTINE^_WESTERN BALKAN,SENEGAL_CENTRAL MEDITERRANEAN,SENEGAL_WESTERN AFRICAN,SIERRA LEONE_CENTRAL MEDITERRANEAN,SIERRA LEONE_EASTERN MEDITERRANEAN (S),SOMALIA_CENTRAL MEDITERRANEAN,SOMALIA_EASTERN BORDERS,SOMALIA_EASTERN MEDITERRANEAN (L),SOMALIA_EASTERN MEDITERRANEAN (S),SOMALIA_WESTERN BALKAN,SOUTH SUDAN_CENTRAL MEDITERRANEAN,SRI LANKA_WESTERN BALKAN,STATELESS_EASTERN MEDITERRANEAN (S),SUDAN_CENTRAL MEDITERRANEAN,SUDAN_EASTERN BORDERS,SUDAN_EASTERN MEDITERRANEAN (S),SUDAN_WESTERN MEDITERRANEAN (L),SYRIA_CENTRAL MEDITERRANEAN,SYRIA_EASTERN BORDERS,SYRIA_EASTERN MEDITERRANEAN (L),SYRIA_EASTERN MEDITERRANEAN (S),SYRIA_WESTERN BALKAN,SYRIA_WESTERN MEDITERRANEAN (S),TOGO_CENTRAL MEDITERRANEAN,TUNISIA_CENTRAL MEDITERRANEAN,TUNISIA_WESTERN BALKAN,TÜRKIYE_CENTRAL MEDITERRANEAN,TÜRKIYE_EASTERN BORDERS,TÜRKIYE_EASTERN MEDITERRANEAN (L),TÜRKIYE_EASTERN MEDITERRANEAN (S),TÜRKIYE_WESTERN BALKAN,UKRAINE_EASTERN BORDERS,UNKNOWN_CENTRAL MEDITERRANEAN,UNKNOWN_EASTERN MEDITERRANEAN (S),UNSPECIFIED SUB-SAHARAN NATIONALS_WESTERN AFRICAN,UNSPECIFIED SUB-SAHARAN NATIONALS_WESTERN MEDITERRANEAN (S),YEMEN_CENTRAL MEDITERRANEAN,YEMEN_EASTERN MEDITERRANEAN (S),YEMEN_WESTERN BALKAN
2020-12-01,56,0,36,51,450,16,79,16,0,514,9,19,0,22,5,0,1,0,27,60,6,0,0,1,0,1,0,4,21,4,0,0,27,15,0,0,189,0,71,0,0,1,13,0,0,2,0,0,1,6,0,1,0,0,0,31,0,0,0,0,0,0,189,0,15,0,14,204,24,20,9,58,4,0,0,0,0,5,57,10,3,0,0,0,0,34,0,2080,62,1,279,0,5,39,1,12,15,38,2,0,17,6,0,42,46,0,0,32,1,7,0,48,2,0,0,3,0,0,8,121,5,0,0,0,27,0,1,1,30,2,183,73,2862,0,0,478,25,1,8,64,0,2,4,0,0,1352,209,1,3,13
2021-01-01,50,1,16,62,412,3,3,12,0,471,3,2,8,1,3,3,14,0,62,0,72,0,1,7,0,0,0,0,0,1,0,0,0,82,0,0,157,0,22,0,2,10,217,0,0,19,0,0,13,2,0,1,6,0,0,158,14,0,5,0,0,0,1,0,3,14,17,0,14,2,2,9,16,0,0,1,0,0,10,82,3,0,0,0,0,7,3,705,40,2,281,0,9,0,87,6,10,3,17,0,16,118,5,0,4,38,0,19,0,0,0,47,23,0,17,51,3,0,0,73,5,1,0,0,59,0,0,1,2,1,56,160,1651,5,7,85,20,2,2,49,9,14,0,0,0,1372,52,0,0,1
2021-02-01,26,0,3,96,484,9,230,33,0,531,410,0,11,10,0,1,15,0,110,0,13,0,3,31,0,0,0,5,0,1,3,0,0,106,0,0,682,0,208,3,0,7,58,0,3,3,0,0,12,2,0,0,39,1,0,458,10,0,7,0,1,13,28,0,1,6,14,10,12,0,2,30,14,0,0,13,3,6,83,193,3,0,3,0,0,142,3,83,127,2,138,0,94,0,43,5,12,6,15,0,17,7,3,31,3,21,0,48,6,3,1,67,35,0,26,16,101,0,1,119,14,58,1,0,325,0,0,0,18,0,29,159,2544,0,10,668,28,0,2,109,0,8,2,2,0,181,5,0,0,18
2021-03-01,48,0,4,218,428,11,73,15,0,992,383,6,26,5,7,1,14,0,93,1,108,0,2,1,0,0,0,5,2,9,2,0,0,141,0,0,323,0,71,19,3,13,110,0,0,5,0,0,12,1,0,0,17,0,0,168,51,0,20,0,3,5,117,5,0,10,0,82,0,11,7,21,19,0,0,9,7,36,83,148,2,0,0,0,0,72,6,218,130,1,157,0,26,0,113,6,13,12,41,0,12,89,0,31,15,82,0,33,0,3,4,28,13,0,16,74,36,0,2,238,13,1,6,0,110,0,0,2,19,3,110,231,1657,0,4,335,22,0,10,381,2,30,4,0,0,877,46,0,2,39
2021-04-01,2,0,30,168,415,16,38,6,0,89,143,14,60,85,19,0,4,0,1,0,106,0,0,2,0,0,0,0,0,7,0,0,0,221,0,0,45,0,215,1,1,18,64,0,0,67,0,1,2,0,0,0,1,2,0,30,30,0,13,0,0,0,79,10,11,5,9,69,41,19,0,32,6,0,0,0,4,43,29,24,0,0,0,0,0,115,0,206,72,3,136,0,11,0,133,8,60,5,13,3,6,1,0,33,9,71,0,31,0,6,17,33,5,0,1,92,59,1,0,118,8,0,0,0,86,0,0,0,24,14,144,220,2424,6,0,297,18,7,1,491,2,22,1,0,0,1042,10,4,6,25
2021-05-01,155,0,56,190,354,10,86,28,0,1109,1669,10,22,6,4,16,49,0,48,0,60,0,1,17,0,0,0,0,0,12,0,1,0,138,0,0,203,0,340,17,0,6,558,1,1,67,0,0,61,2,0,0,43,3,0,131,19,0,19,0,7,2,140,28,10,17,29,115,24,20,33,104,26,0,0,6,5,6,64,121,0,0,0,0,0,237,1,275,107,100,403,0,68,0,167,43,25,4,6,3,21,29,1,85,26,63,0,40,16,18,6,64,7,0,23,35,140,0,0,30,16,10,0,0,382,0,2,59,246,18,81,445,2505,8,7,601,11,3,14,141,3,44,7,1,0,539,31,2,2,7
2021-06-01,42,62,27,42,793,2,185,19,0,465,814,13,102,22,14,4,5,0,70,0,18,0,3,26,0,1,0,2,0,0,0,0,0,143,0,0,309,0,793,9,1,12,239,0,0,90,0,1,15,1,0,1,18,0,0,145,9,0,0,0,2,20,496,33,9,10,4,271,352,24,0,67,10,0,1,2,8,12,47,105,0,0,0,0,0,379,0,228,97,2,685,0,28,0,100,27,107,5,10,0,30,2,4,121,21,115,0,33,2,30,12,49,16,0,11,31,9,0,1,17,28,5,2,2,264,0,6,0,339,22,178,124,2440,0,2,977,13,15,8,246,6,44,3,11,0,1221,21,4,0,22
2021-07-01,99,308,76,15,904,11,134,23,0,1457,778,11,128,83,21,4,19,0,104,1,28,0,1,7,0,0,0,4,0,4,1,0,0,82,0,1,517,0,620,0,1,16,265,10,0,14,1,0,47,8,0,1,23,4,0,410,7,0,10,0,5,14,478,33,3,10,17,276,1903,23,56,75,11,0,0,12,15,65,70,85,1,0,0,0,0,147,4,75,77,0,573,0,31,0,68,23,848,15,18,0,17,276,1,87,16,125,0,65,40,1,25,78,25,0,11,6,14,23,0,10,93,16,0,0,166,5,1,115,140,60,166,157,2490,15,2,4048,20,8,18,239,9,109,6,8,0,526,49,0,3,18
2021-08-01,48,152,42,15,1809,15,139,41,0,1162,1084,23,78,126,19,2,18,0,75,0,50,0,0,2,0,7,0,1,0,0,1,0,0,109,0,0,559,0,1206,6,87,61,129,0,4,24,0,0,12,7,0,0,42,0,0,160,13,0,16,0,0,26,585,14,0,26,15,512,1441,57,139,113,15,0,4,5,9,144,125,118,13,0,0,0,0,382,4,506,137,8,712,0,68,0,71,29,155,8,23,8,30,50,9,256,29,96,0,115,17,2,43,56,13,0,12,23,12,55,0,67,119,5,0,0,151,2,13,7,217,93,241,240,3651,3,1,4013,27,58,12,373,37,93,10,2,0,1294,14,11,2,28
2021-09-01,111,54,74,105,1951,16,144,60,0,2935,716,18,32,73,7,0,7,0,46,0,41,0,3,8,1,10,0,4,0,0,1,0,0,98,0,0,153,0,1269,3,9,105,136,0,1,17,0,0,32,2,0,0,10,1,0,209,8,0,8,0,1,23,714,14,6,61,15,474,181,26,33,96,35,0,53,9,7,78,87,44,2,0,0,0,0,122,14,1925,148,0,1152,0,18,0,92,37,78,18,42,2,60,2,6,160,45,127,1,148,30,1,38,119,12,0,8,11,46,9,6,106,197,3,0,0,81,0,6,13,285,54,220,535,6113,26,4,1795,54,29,16,135,25,226,8,1,0,1905,17,2,0,35
2021-10-01,414,21,204,156,1247,9,301,22,0,1520,457,3,83,26,7,13,11,0,113,0,135,0,1,4,0,0,0,4,0,12,0,0,0,454,0,9,345,0,1375,5,5,53,128,6,16,17,1,4,65,11,0,0,26,1,0,142,39,0,5,2,0,107,667,6,7,23,26,365,492,18,1,69,25,0,3,2,52,141,80,170,2,0,1,0,0,55,0,1067,113,6,365,0,102,0,397,25,110,11,51,6,32,7,3,282,7,339,0,85,12,8,145,58,13,0,4,102,59,16,0,306,212,1,1,0,102,3,8,0,272,78,172,491,5913,11,2,1503,189,13,30,99,23,311,10,10,0,2562,17,2,3,39
