Country,Global_Peace_Index,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,GDP/Capita
albania,1.812,0.81,79.6,14.5,10.2,17627,16,11377.7757431099
trinidad and tobago,2.02,0.807,73.5,14.2,10.8,27000,-7,18733.4110406494
mauritius,1.586,0.806,74.9,14.2,10.1,27280,-9,11990.7798944837
bosnia and herzegovina,1.895,0.804,77.9,13.2,11,19827,6,9358.78768951134
iran (islamic republic of),2.75,0.799,77.7,14,10.8,16096,19,
saint vincent and the grenadines,,0.798,71.2,16.3,11.3,17247,14,
thailand,2.017,0.798,76.4,15.4,9,20570,1,7346.62022142185
china,2.093,0.797,78,15.5,8,22029,-7,13303.1481543868
peru,2.073,0.794,77.7,14.9,10.2,14339,23,8452.37167056621
grenada,,0.791,75.2,16.6,9.4,14349,21,11705.0902976658
azerbaijan,2.067,0.789,74.4,12.9,11.1,20668,-5,7283.8499076179
mexico,2.636,0.789,75.1,14.5,9.3,21813,-8,14185.7812248529
colombia,2.695,0.788,77.7,14.3,9,18666,1,7919.20886825345
brazil,2.472,0.786,75.8,15.8,8.4,18011,1,10310.5488778166
palau,,0.786,69.3,14.1,13.3,16035,11,
moldova (republic of),,0.785,71.2,14.6,11.8,15867,11,
ukraine,3.434,0.779,73.4,13.3,11.1,16933,5,5389.47314453125
ecuador,2.459,0.777,77.4,14.9,9,13986,15,6874.705739766
dominican republic,1.996,0.776,73.7,13.6,9.4,22024,-17,10875.6618443092
guyana,2.149,0.776,70.2,13,8.7,46959,-54,29675.2443873316
sri lanka,2.075,0.776,77.5,13.1,10.8,12616,22,4515.56787322732
tonga,,0.769,72.9,17.8,10.9,7438,38,
maldives,,0.766,81,12.8,7.4,19317,-11,13379.3513577224
viet nam,1.721,0.766,74.6,15.5,9,13033,14,4717.29028732449
turkmenistan,2.019,0.764,70.1,13.2,11.2,17716,-9,6856.65802730208
algeria,2.042,0.763,76.3,15.5,7.4,15114,3,5752.99076651465
cuba,2.123,0.762,78.1,13.9,10.6,8415,30,
dominica,,0.761,71.1,14.2,10.1,16001,-2,10405.2787777582
paraguay,1.981,0.756,73.8,14,8.9,15252,-1,6416.09708970845
egypt,2.157,0.754,71.6,13.1,10.1,16218,-7,
jordan,1.957,0.754,77.8,13.1,10.2,9222,22,4618.09592498567
lebanon,2.674,0.752,77.8,11.7,10.4,11299,13,
saint lucia,,0.748,72.7,12.7,8.6,20900,-29,
mongolia,1.719,0.747,71.7,13.6,9.4,14787,-4,6750.6301157724
tunisia,1.998,0.746,76.5,14.7,7.6,12011,9,4181.13789301228
south africa,2.347,0.741,66.1,13.8,11.6,13694,0,6267.186814093
uzbekistan,1.926,0.74,72.4,12.5,11.9,8826,17,3161.70010632875
bolivia (plurinational state of),,0.733,68.6,15.6,10,9445,13,
gabon,2.238,0.733,68.3,12.5,9.7,18854,-25,8230.04311451151
marshall islands,,0.733,66.9,16.4,11.6,7224,23,7726.33668877794
botswana,1.743,0.731,69.2,11.4,10.5,16984,-20,7695.75319445165
fiji,,0.731,67.3,13.8,10.4,12843,-3,6425.74151715712
indonesia,1.786,0.728,71.1,13.3,8.7,13700,-8,4925.43048751861
suriname,,0.722,73.6,11,8.4,17344,-26,6961.78955961526
belize,,0.721,73.6,12,8.8,12343,-2,7681.24400583113
libya,2.478,0.721,69.3,12.9,7.8,19831,-36,6569.16408678648
jamaica,2.047,0.72,71.5,12.4,10,10057,2,7753.8006955432
kyrgyzstan,,0.72,71.7,12.7,12.1,6078,24,
philippines,2.148,0.72,69.8,12.8,10,10731,0,3984.8315387656
morocco,2.012,0.71,75.3,15.1,6.2,8653,5,4153.1943359375
venezuela (bolivarian republic of),,0.709,72.5,13,9.7,7157,11,
samoa,,0.708,71.7,12.4,11.3,5952,21,5392.87761915762
nicaragua,2.207,0.706,74.9,11.5,9.9,6881,11,2847.53966339498
nauru,,0.703,62.1,12.8,9.4,19642,-43,13609.158837552
bhutan,1.536,0.698,73,13.2,5.8,13843,-21,
eswatini (kingdom of),,0.695,64.1,15.2,8.7,9919,-6,
iraq,2.862,0.695,72.3,12.4,6.8,12654,-16,6073.61032342708
tajikistan,1.996,0.691,71.8,10.8,11.3,5747,17,1341.20229027672
tuvalu,,0.689,67.1,12.4,10.8,7006,4,
bangladesh,2.318,0.685,74.7,12.3,6.8,8498,-4,2593.41611680774
india,2.229,0.685,72,13,6.9,9047,-7,2694.73780859961
el salvador,2.136,0.678,72.1,11.1,7.3,10595,-14,5579.65969165029
equatorial guinea,2.004,0.674,63.7,12.5,8.3,12762,-24,6745.40013244916
"palestine, state of",,0.674,65.2,13,10.1,6547,5,
cabo verde,,0.668,76.1,11.4,6.1,8165,-7,5192.48157325878
namibia,1.789,0.665,67.4,11.8,7.3,10917,-20,4413.12752211572
guatemala,2.174,0.662,72.6,10.7,5.8,12459,-25,6150.02571438505
congo,2.132,0.649,65.8,12.7,8.3,5903,6,
honduras,2.347,0.645,72.9,10.2,7.5,6065,3,3426.43483328923
kiribati,,0.644,66.5,11.9,9.1,4947,11,2288.63471423684
sao tome and principe,,0.637,69.7,12.9,6,5583,6,3490.56883486557
timor-leste,1.758,0.634,67.7,13.3,6.2,5435,8,1331.9705130185
ghana,1.898,0.628,65.5,11.4,7.1,6846,-8,2390.77237652715
kenya,2.392,0.628,63.6,11.5,8.6,5608,3,2132.43452097647
nepal,1.987,0.622,70.4,13.8,4.5,4726,10,1447.31004458428
vanuatu,,0.621,71.5,11.8,7.2,3404,20,3410.77023167097
lao people's democratic republic,1.783,0.617,69,9.6,6.1,8106,-18,
angola,1.987,0.616,64.6,12.2,6,6631,-11,2665.87444776753
micronesia (federated states of),,0.615,67.2,11.5,7.3,4246,7,
myanmar,3.045,0.609,66.9,11.5,6.4,4919,3,1359.05001560107
cambodia,2.019,0.606,70.7,11.2,5.2,4931,1,2627.87969756224
comoros,,0.603,66.8,13.3,6,3481,12,1662.75663312504
zimbabwe,2.223,0.598,62.8,11.1,8.9,3511,9,2497.20332208763
zambia,1.914,0.595,66.3,11,7.4,3447,11,1187.10943350064
cameroon,2.683,0.588,63.7,10.8,6.6,4746,-1,1830.00833684727
solomon islands,,0.584,70.5,11.3,5.9,2777,18,1933.55538435227
côte d'ivoire,2.066,0.582,61.9,11.4,4.9,6735,-21,
uganda,2.217,0.582,68.3,11.6,6.3,2736,18,1077.91278452817
rwanda,2.036,0.578,67.8,12.6,4.9,2971,9,999.65456165547
papua new guinea,2.23,0.576,66.1,11.5,5,3971,-2,3006.70564478923
togo,2.381,0.571,62.7,13.1,5.9,2856,9,1119.38160509429
syrian arab republic,3.184,0.564,72.1,7.4,5.9,3918,-3,
mauritania,2.204,0.563,68.5,7.9,4.9,6267,-23,2110.12036938187
nigeria,2.869,0.56,54.5,10.5,7.6,5569,-16,1084.16041805436
tanzania (united republic of),,0.555,67,8.6,6.1,3515,-4,
haiti,2.731,0.554,64.9,10.9,5.4,2935,3,2142.62330526788
lesotho,2.267,0.55,57.4,11,7.7,3029,0,971.90771824829
pakistan,2.797,0.544,67.6,7.9,4.3,5501,-19,1478.77277977996
senegal,1.936,0.53,68.7,9.1,2.9,4202,-12,1773.21829923448
gambia,1.855,0.524,65.9,9,4.7,2812,1,
congo (democratic republic of the),3.292,0.522,61.9,10.9,7.4,1431,17,
malawi,1.955,0.517,67.4,9.9,5.2,1634,12,522.570393642547
benin,2.211,0.515,60.8,10.4,3.2,3806,-13,1485.38018885134
guinea-bissau,2.112,0.514,64.1,10.6,3.7,2403,2,1007.74151728028
djibouti,2.276,0.513,66,6.2,4,6368,-36,3552.72335079222
sudan,3.323,0.511,66.3,8.6,4,2810,-4,984.607666015625
liberia,1.939,0.51,62.2,10.5,6.2,1538,9,851.497723870206
eritrea,2.542,0.503,68.6,7.3,5.1,2029,1,
guinea,2.253,0.5,60.7,10.4,2.5,3494,-16,1694.95375862193
ethiopia,2.688,0.497,67.3,9.2,2.4,2796,-7,1133.88279681719
afghanistan,3.229,0.496,66,10.8,2.5,1972,-1,
mozambique,2.273,0.493,63.6,10.8,4.6,1356,7,656.776824637306
madagascar,1.895,0.487,63.6,9.1,4.6,1656,0,544.987501003384
yemen,3.262,0.47,69.3,7.5,5.5,1018,7,
sierra leone,1.887,0.467,61.8,9.1,3.5,1714,-3,806.654650417726
burkina faso,3.016,0.459,61.1,8.7,2.3,2391,-9,981.992649769081
burundi,2.574,0.439,63.7,9.8,3.5,859,5,219.424830882698
mali,3.061,0.419,60.4,7,1.6,2342,-10,1094.61949265799
niger,2.759,0.419,61.2,8.3,1.4,1590,-3,735.270255787226
chad,2.593,0.416,55.1,8.3,2.3,1748,-9,961.55975562506
central african republic,2.912,0.414,57.4,7.4,4,1100,-1,516.160999996036
somalia,2.983,0.404,58.8,7.5,1.9,1475,-5,629.538899449007
south sudan,3.117,0.388,57.6,5.6,5.7,688,0,
